tipe,id,kode_gejala,pertanyaan,gaya_vark,bobot,rule_gejala_1,rule_gejala_2,rule_gejala_3,strategi
GEJALA,1,GV01,Saya mudah paham jika materi disajikan dalam bentuk gambar/diagram,V,3,,,,
GEJALA,2,GV02,Saya suka menggunakan warna (highlight) saat belajar,V,2,,,,
GEJALA,3,GV03,Saya lebih cepat mengingat jika melihat grafik/tabel,V,3,,,,
GEJALA,4,GV04,Saya suka menonton video pembelajaran,V,2,,,,
GEJALA,5,GV05,Saya terbantu dengan mind map atau peta konsep,V,3,,,,
GEJALA,6,GV06,Saya suka membuat catatan dengan simbol/ikon,V,2,,,,
GEJALA,7,GA01,Saya lebih paham jika dijelaskan secara lisan oleh dosen/teman,A,3,,,,
GEJALA,8,GA02,Saya suka diskusi kelompok untuk memahami materi,A,3,,,,
GEJALA,9,GA03,Saya sering mengulang materi dengan cara membacanya keras-keras,A,2,,,,
GEJALA,10,GA04,Saya mudah mengingat dari penjelasan audio/podcast,A,2,,,,
GEJALA,11,GA05,Saya suka bertanya dan menjelaskan kembali materi ke orang lain,A,3,,,,
GEJALA,12,GA06,Saya nyaman belajar sambil mendengar penjelasan,A,2,,,,
GEJALA,13,GR01,Saya lebih paham jika membaca buku/modul,R,3,,,,
GEJALA,14,GR02,Saya suka membuat rangkuman materi,R,3,,,,
GEJALA,15,GR03,Saya lebih nyaman belajar lewat teks daripada video,R,2,,,,
GEJALA,16,GR04,Saya sering membuat catatan detail,R,2,,,,
GEJALA,17,GR05,Saya suka mengerjakan latihan soal tertulis,R,2,,,,
GEJALA,18,GR06,Saya lebih cepat paham jika menulis ulang materi,R,3,,,,
GEJALA,19,GK01,Saya lebih paham jika langsung praktik,K,3,,,,
GEJALA,20,GK02,Saya suka belajar lewat simulasi atau studi kasus,K,3,,,,
GEJALA,21,GK03,Saya cepat bosan jika hanya membaca/mendengar,K,2,,,,
GEJALA,22,GK04,Saya suka belajar sambil bergerak/aktif,K,2,,,,
GEJALA,23,GK05,Saya lebih mudah paham jika ada contoh nyata,K,3,,,,
GEJALA,24,GK06,Saya suka eksperimen / mencoba sendiri,K,2,,,,
RULE,RV01,,,V,,GV01,GV03,GV05,
RULE,RV02,,,V,,GV01,GV02,GV04,
RULE,RV03,,,V,,GV03,GV05,,
RULE,RV04,,,V,,GV01,GV06,,
RULE,RA01,,,A,,GA01,GA02,GA05,
RULE,RA02,,,A,,GA01,GA03,,
RULE,RA03,,,A,,GA02,GA04,,
RULE,RA04,,,A,,GA05,GA06,,
RULE,RR01,,,R,,GR01,GR02,GR06,
RULE,RR02,,,R,,GR01,GR04,,
RULE,RR03,,,R,,GR02,GR05,,
RULE,RR04,,,R,,GR03,GR06,,
RULE,RK01,,,K,,GK01,GK02,GK05,
RULE,RK02,,,K,,GK01,GK03,,
RULE,RK03,,,K,,GK02,GK04,,
RULE,RK04,,,K,,GK05,GK06,,
STRATEGI,SV,V,,V,,,,,Gunakan mind map/peta konsep; Ringkas materi dengan diagram/tabel/warna; Tonton video pembelajaran; Buat catatan simbol/ikon
STRATEGI,SA,A,,A,,,,,Belajar lewat diskusi; Rekam penjelasan lalu dengarkan ulang; Jelaskan materi ke orang lain; Gunakan podcast/audio
STRATEGI,SR,R,,R,,,,,Baca buku/modul; Buat rangkuman dan catatan detail; Banyak latihan soal tertulis; Tulis ulang materi jadi poin
STRATEGI,SK,K,,K,,,,,Praktik langsung/eksperimen; Belajar lewat simulasi/studi kasus; Project mini; Gunakan contoh nyata
